bairro,posicao,logradouro
TERRENOS NOVOS,4,RUA RAIMUNDO NONATO DOS SANTOS
TERRENOS NOVOS,5,S/N
TIMBAUBA DE CIMA,1,BAR ACONCHEGO
TIMBAUBA DE CIMA,2,S/N
TIMBAUBAS,1,RUA JOSE DOURADO CABRAL
TIMBAUBAS,2,35
TIMBO,1,RUA A
TIMBO,2,131
TOCA,1,RUA DO MEIO
TOCA,2,S/N
TRIANGULO DE MARCO,1,RODOVIA BR-402
VARZANTE,1,AV. SANTOS DUMONT
VARZEA DA MATRIZ,1,RUA SAO PEDRO
VARZEA DA MATRIZ,2,1214
VARZEA DA MATRIZ,3,TRAVESSA DUQUE DE CAXIAS
VARZEA DA MATRIZ,4,69
VARZEA DA MATRIZ,5,TV PADRE PACHECO
VARZEA DA MATRIZ,6,S/N
VEREMOS,1,RODOVIA CE-187
VICENTE PINZON,1,RUA DA LUA (SEM NUMERO)
VIL CENTENARIO,1,RUA PADRE PATRICIO
VIL CENTENARIO,2,S/N
VILA,1,DISTRITO DE SEVERINO
VILA CENTENARIO,1,RUA JOAO CARLOS LIMA VERDE
VILA CENTENARIO,2,77
VILA CENTENARIO,3,RUA LIMA BEZERRA
VILA CENTENARIO,4,40
VILA DA PAZ,1,TV. 04
VILA DA PAZ,2,09
VILA DE JERICOACOARA,1,VILA DE JERICOACOARA
VILA DE JERICOACOARA,2,S/N
VILA HOLLYWOOD,1,RUA 02
VILA HOLLYWOOD,2,13
VILA JOSE MENDES,1,RUA ARCELINO
VILA JOSE MENDES,2,4142
VILA MADEIRO,1,RUA FRANCISCO MADEIRO DE CARVALHO
VILA MADEIRO,2,305
VILA NEUMA,1,RUA MANOEL CAMILO
VILA NEUMA,2,21
VILA NOVA,1,RUA PADRE JOSE FACUNDO
VILA NOVA,2,S/N
VILA SAO BENTO,1,RUA CHIQUINHA MACEDO
VILA SAO BENTO,2,S/N
VILA VELHA,1,AV. MOZAR LUCENA
VILA VELHA,2,1400
VILA VELHA 3,1,RUA DOLORES DE ALENCAR
VILA VELHA 3,2,100
ZACARIAS GONCALVES,1,RUA BOM JESUS
ZACARIAS GONCALVES,2,S/N
ZOMA RURAL,1,LOCALIDADE DE CAICARA
ZONA RURAL,1,LOCALIDADE DE VARZEA DOS ESPINHOS
ZONA RURAL,2,VILA TAPERA
ZONA RURAL,3,BOA VISTA
ZONA RURAL,4,RODOVIA CE-183
ZONA RURAL,5,DISTRITO DE JAIBARAS
ZONA RURAL,6,SITIO FAVEIRA 1
"ZONA RURAL, S/N",1,SITIO ANTONOPOLIS
"ZONA RURAL, SANTA TEREZINHA",1,CE 311
"ZONA RURAL, SANTA TEREZINHA",2,PESSOA ANTA
ZONA URAL,1,SITIO MARINEMA
ZONA URBANA,1,RODOVIA BR-402
ZONA URBANA,2,RODOVIA BR116
ZONA URBANA,3,KM336
ZONA URBANA,4,RODOVIA CE-085
ZONA URBANA,5,ROTATORIA
ZONA URBANA,6,RUA FRANCISCO TEOFILO DA ROCHA
ZORRA,1,RUA DA IGREJA
ZORRA,2,28
ZUMBI,1,RUA VEREADOR ELIAS EDUARDO
ZUMBI,2,S/N
